cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
1	15	4	5.6392	36.5689
1	15	5	0.0000	0.0000
1	15	6	0.0000	0.0000
1	15	7	0.0000	0.0000
1	15	8	0.0000	0.0000
1	15	9	0.0000	0.0000
1	15	10	0.0000	0.0000
1	15	11	0.0000	0.0000
1	15	12	0.0000	0.0000
1	15	13	0.0000	0.0000
1	15	14	0.0000	0.0000
1	15	15	0.0000	0.0000
1	15	16	0.0000	0.0000
1	15	17	0.0000	0.0000
1	15	18	0.6165	3.0829
1	15	19	0.3979	1.5478
1	15	20	1.0992	3.8260
1	16	1	0.0000	0.0000
1	16	2	0.0000	0.0000
1	16	3	0.0000	0.0000
1	16	4	0.0017	0.0128
1	16	5	0.0000	0.0000
1	16	6	0.3351	1.0936
1	16	7	0.0000	0.0000
1	16	8	0.0000	0.0000
1	16	9	0.0000	0.0000
1	16	10	1.1881	6.8159
1	16	11	0.0727	0.3661
1	16	12	0.5340	2.3568
1	16	13	0.0000	0.0000
1	16	14	0.0000	0.0000
1	16	15	0.0000	0.0000
1	16	16	0.0000	0.0000
1	16	17	0.0000	0.0000
1	16	18	0.0000	0.0000
1	16	19	0.0000	0.0000
1	16	20	0.0000	0.0000
1	17	1	0.4019	2.8126
1	17	2	0.0000	0.0000
1	17	3	0.1018	0.5659
1	17	4	0.0000	0.0000
1	17	5	0.0000	0.0000
1	17	6	0.0000	0.0000
1	17	7	0.0000	0.0000
1	17	8	0.5571	3.3173
1	17	9	0.0000	0.0000
1	17	10	0.0000	0.0000
1	17	11	0.0000	0.0000
1	17	12	2.3626	10.4878
1	17	13	0.0000	0.0000
1	17	14	0.0000	0.0000
1	17	15	0.4599	2.3953
1	17	16	0.1805	1.1970
1	17	17	0.0000	0.0000
1	17	18	1.6372	9.5084
1	17	19	0.0000	0.0000
1	17	20	0.0000	0.0000
1	18	1	0.6069	3.1423
1	18	2	0.0000	0.0000
1	18	3	0.0000	0.0000
1	18	4	0.0000	0.0000
1	18	5	0.0000	0.0000
1	18	6	0.0000	0.0000
