cycle_1_lane	cycle_2_lane	cycle_3_lane	fraction_of_000	fraction_of_001	fraction_of_010	fraction_of_011	fraction_of_100	fraction_of_101	fraction_of_110	fraction_of_111
7	1	3	0.0105	0.0318	0.0266	0.0808	0.0594	0.1807	0.1510	0.4593
7	1	4	0.0091	0.0331	0.0231	0.0843	0.0516	0.1884	0.1313	0.4790
7	1	5	0.0089	0.0334	0.0225	0.0848	0.0504	0.1897	0.1281	0.4822
7	1	6	0.0056	0.0366	0.0143	0.0930	0.0320	0.2080	0.0814	0.5289
7	1	7	0.0126	0.0296	0.0321	0.0753	0.0717	0.1684	0.1823	0.4281
7	1	8	0.0114	0.0309	0.0289	0.0785	0.0645	0.1755	0.1641	0.4463
7	1	9	0.0113	0.0309	0.0288	0.0785	0.0645	0.1756	0.1639	0.4464
7	1	10	0.0087	0.0335	0.0222	0.0852	0.0496	0.1905	0.1260	0.4844
7	1	11	0.0100	0.0323	0.0254	0.0820	0.0567	0.1834	0.1441	0.4662
7	1	12	0.0163	0.0260	0.0413	0.0661	0.0924	0.1477	0.2349	0.3755
7	1	13	0.0068	0.0355	0.0172	0.0901	0.0385	0.2015	0.0980	0.5123
7	1	14	0.0124	0.0298	0.0316	0.0758	0.0706	0.1695	0.1795	0.4308
7	1	15	0.0084	0.0339	0.0212	0.0861	0.0475	0.1926	0.1208	0.4895
7	1	16	0.0117	0.0306	0.0297	0.0777	0.0663	0.1737	0.1687	0.4417
7	1	17	0.0104	0.0318	0.0265	0.0808	0.0593	0.1808	0.1508	0.4595
7	1	18	0.0112	0.0311	0.0284	0.0790	0.0634	0.1766	0.1613	0.4491
7	1	19	0.0202	0.0220	0.0514	0.0560	0.1149	0.1252	0.2921	0.3183
7	1	20	0.0127	0.0296	0.0322	0.0752	0.0719	0.1681	0.1829	0.4275
7	2	1	0.0141	0.0432	0.0227	0.0696	0.0801	0.2453	0.1292	0.3957
7	2	2	0.0227	0.0345	0.0367	0.0557	0.1292	0.1963	0.2084	0.3165
7	2	3	0.0142	0.0431	0.0228	0.0695	0.0805	0.2450	0.1299	0.3950
7	2	4	0.0123	0.0449	0.0199	0.0725	0.0700	0.2555	0.1129	0.4120
7	2	5	0.0120	0.0452	0.0194	0.0730	0.0683	0.2572	0.1102	0.4147
7	2	6	0.0076	0.0496	0.0123	0.0800	0.0434	0.2821	0.0700	0.4549
7	2	7	0.0171	0.0402	0.0276	0.0648	0.0972	0.2283	0.1568	0.3681
7	2	8	0.0154	0.0419	0.0248	0.0675	0.0875	0.2380	0.1411	0.3838
7	2	9	0.0154	0.0419	0.0248	0.0675	0.0874	0.2381	0.1409	0.3840
7	2	10	0.0118	0.0454	0.0191	0.0733	0.0672	0.2583	0.1083	0.4166
7	2	11	0.0135	0.0437	0.0218	0.0705	0.0768	0.2486	0.1239	0.4010
7	2	12	0.0220	0.0352	0.0355	0.0568	0.1252	0.2002	0.2020	0.3229
7	2	13	0.0092	0.0481	0.0148	0.0775	0.0523	0.2732	0.0843	0.4406
7	2	14	0.0168	0.0404	0.0272	0.0652	0.0957	0.2298	0.1544	0.3705
7	2	15	0.0113	0.0459	0.0183	0.0741	0.0644	0.2611	0.1039	0.4210
7	2	16	0.0158	0.0414	0.0255	0.0668	0.0899	0.2355	0.1451	0.3798
7	2	17	0.0141	0.0431	0.0228	0.0695	0.0804	0.2451	0.1297	0.3952
7	2	18	0.0151	0.0421	0.0244	0.0679	0.0860	0.2395	0.1387	0.3862
7	2	19	0.0274	0.0299	0.0442	0.0482	0.1558	0.1697	0.2512	0.2737
7	2	20	0.0172	0.0401	0.0277	0.0647	0.0975	0.2280	0.1573	0.3676
7	3	1	0.0106	0.0325	0.0262	0.0803	0.0603	0.1847	0.1491	0.4563
7	3	2	0.0171	0.0260	0.0423	0.0642	0.0973	0.1477	0.2404	0.3650
7	3	3	0.0107	0.0324	0.0264	0.0801	0.0606	0.1844	0.1498	0.4556
7	3	4	0.0093	0.0338	0.0229	0.0836	0.0527	0.1923	0.1302	0.4752
7	3	5	0.0090	0.0341	0.0224	0.0841	0.0514	0.1936	0.1271	0.4783
7	3	6	0.0058	0.0374	0.0142	0.0923	0.0327	0.2123	0.0808	0.5246
7	3	7	0.0129	0.0302	0.0318	0.0747	0.0732	0.1718	0.1808	0.4246
7	3	8	0.0116	0.0315	0.0286	0.0779	0.0659	0.1792	0.1627	0.4426
7	3	9	0.0116	0.0315	0.0286	0.0779	0.0658	0.1792	0.1626	0.4428
7	3	10	0.0089	0.0342	0.0220	0.0845	0.0506	0.1944	0.1250	0.4804
7	3	11	0.0102	0.0329	0.0251	0.0814	0.0578	0.1872	0.1429	0.4624
7	3	12	0.0166	0.0265	0.0410	0.0655	0.0943	0.1507	0.2329	0.3724
7	3	13	0.0069	0.0362	0.0171	0.0894	0.0393	0.2057	0.0972	0.5082
7	3	14	0.0127	0.0304	0.0313	0.0752	0.0721	0.1730	0.1780	0.4273
7	3	15	0.0085	0.0346	0.0211	0.0854	0.0485	0.1965	0.1198	0.4856
7	3	16	0.0119	0.0312	0.0294	0.0771	0.0677	0.1773	0.1673	0.4381
7	3	17	0.0107	0.0325	0.0263	0.0802	0.0605	0.1845	0.1496	0.4558
7	3	18	0.0114	0.0317	0.0281	0.0784	0.0647	0.1803	0.1599	0.4454
7	3	19	0.0206	0.0225	0.0510	0.0555	0.1172	0.1278	0.2897	0.3157
7	3	20	0.0129	0.0302	0.0319	0.0746	0.0734	0.1716	0.1814	0.4240
7	4	1	0.0084	0.0259	0.0284	0.0869	0.0480	0.1470	0.1614	0.4941
7	4	2	0.0136	0.0207	0.0458	0.0695	0.0774	0.1175	0.2602	0.3952
7	4	3	0.0085	0.0258	0.0285	0.0868	0.0482	0.1467	0.1622	0.4933
7	4	4	0.0074	0.0269	0.0248	0.0905	0.0419	0.1530	0.1410	0.5145
7	4	5	0.0072	0.0271	0.0242	0.0911	0.0409	0.1540	0.1376	0.5178
7	4	6	0.0046	0.0297	0.0154	0.0999	0.0260	0.1689	0.0874	0.5680
7	4	7	0.0102	0.0241	0.0344	0.0809	0.0582	0.1367	0.1957	0.4597
7	4	8	0.0092	0.0251	0.0310	0.0843	0.0524	0.1425	0.1762	0.4792
7	4	9	0.0092	0.0251	0.0310	0.0843	0.0523	0.1426	0.1760	0.4794
7	4	10	0.0071	0.0272	0.0238	0.0915	0.0402	0.1547	0.1353	0.5202
7	4	11	0.0081	0.0262	0.0272	0.0881	0.0460	0.1489	0.1547	0.5007
7	4	12	0.0132	0.0211	0.0444	0.0709	0.0750	0.1199	0.2522	0.4032
7	4	13	0.0055	0.0288	0.0185	0.0968	0.0313	0.1637	0.1052	0.5502
7	4	14	0.0101	0.0242	0.0339	0.0814	0.0573	0.1376	0.1928	0.4627
7	4	15	0.0068	0.0275	0.0228	0.0925	0.0386	0.1564	0.1297	0.5257
7	4	16	0.0095	0.0248	0.0319	0.0834	0.0539	0.1411	0.1811	0.4743
7	4	17	0.0085	0.0258	0.0285	0.0868	0.0482	0.1468	0.1619	0.4935
7	4	18	0.0091	0.0252	0.0305	0.0848	0.0515	0.1434	0.1732	0.4823
7	4	19	0.0164	0.0179	0.0552	0.0601	0.0933	0.1017	0.3136	0.3418
7	4	20	0.0103	0.0240	0.0345	0.0808	0.0584	0.1365	0.1964	0.4591
7	5	1	0.0061	0.0187	0.0307	0.0941	0.0347	0.1062	0.1747	0.5348
7	5	2	0.0098	0.0150	0.0496	0.0753	0.0560	0.0850	0.2817	0.4278
7	5	3	0.0061	0.0187	0.0309	0.0939	0.0349	0.1061	0.1755	0.5339
7	5	4	0.0053	0.0195	0.0268	0.0980	0.0303	0.1106	0.1526	0.5568
7	5	5	0.0052	0.0196	0.0262	0.0986	0.0296	0.1114	0.1489	0.5605
7	5	6	0.0033	0.0215	0.0166	0.1082	0.0188	0.1221	0.0946	0.6148
7	5	7	0.0074	0.0174	0.0373	0.0875	0.0421	0.0989	0.2119	0.4976
7	5	8	0.0067	0.0181	0.0336	0.0913	0.0379	0.1031	0.1907	0.5187
7	5	9	0.0067	0.0181	0.0335	0.0913	0.0378	0.1031	0.1905	0.5189
7	5	10	0.0051	0.0197	0.0258	0.0990	0.0291	0.1119	0.1464	0.5630
7	5	11	0.0059	0.0189	0.0295	0.0953	0.0333	0.1077	0.1675	0.5419
7	5	12	0.0095	0.0153	0.0480	0.0768	0.0542	0.0867	0.2730	0.4364
7	5	13	0.0040	0.0208	0.0200	0.1048	0.0226	0.1183	0.1139	0.5955
7	5	14	0.0073	0.0175	0.0367	0.0881	0.0415	0.0995	0.2086	0.5008
