cycle_1_lane	cycle_2_lane	cycle_3_lane	fraction_of_000	fraction_of_001	fraction_of_010	fraction_of_011	fraction_of_100	fraction_of_101	fraction_of_110	fraction_of_111
1	1	1	0.0147	0.0451	0.0375	0.1147	0.0548	0.1677	0.1393	0.4263
1	1	2	0.0238	0.0361	0.0604	0.0917	0.0883	0.1341	0.2246	0.3410
1	1	3	0.0148	0.0450	0.0376	0.1145	0.0550	0.1674	0.1399	0.4256
1	1	4	0.0129	0.0470	0.0327	0.1194	0.0479	0.1746	0.1217	0.4439
1	1	5	0.0126	0.0473	0.0319	0.1202	0.0467	0.1758	0.1187	0.4468
1	1	6	0.0080	0.0519	0.0203	0.1318	0.0297	0.1928	0.0754	0.4901
1	1	7	0.0179	0.0420	0.0454	0.1067	0.0664	0.1560	0.1689	0.3967
1	1	8	0.0161	0.0438	0.0409	0.1112	0.0598	0.1627	0.1520	0.4135
1	1	9	0.0161	0.0438	0.0409	0.1113	0.0597	0.1627	0.1519	0.4137
1	1	10	0.0124	0.0475	0.0314	0.1207	0.0459	0.1765	0.1167	0.4488
1	1	11	0.0141	0.0457	0.0359	0.1162	0.0525	0.1699	0.1335	0.4320
1	1	12	0.0230	0.0368	0.0585	0.0936	0.0856	0.1369	0.2176	0.3479
1	1	13	0.0096	0.0502	0.0244	0.1277	0.0357	0.1867	0.0908	0.4748
1	1	14	0.0176	0.0422	0.0447	0.1074	0.0654	0.1570	0.1663	0.3992
1	1	15	0.0118	0.0480	0.0301	0.1220	0.0440	0.1784	0.1119	0.4536
1	1	16	0.0165	0.0433	0.0420	0.1101	0.0615	0.1610	0.1563	0.4093
1	1	17	0.0148	0.0451	0.0376	0.1145	0.0550	0.1675	0.1397	0.4258
1	1	18	0.0158	0.0440	0.0402	0.1119	0.0588	0.1637	0.1494	0.4161
1	1	19	0.0286	0.0312	0.0728	0.0793	0.1064	0.1160	0.2706	0.2949
1	1	20	0.0179	0.0419	0.0456	0.1066	0.0667	0.1558	0.1695	0.3961
1	2	1	0.0200	0.0612	0.0322	0.0986	0.0743	0.2274	0.1198	0.3666
1	2	2	0.0322	0.0489	0.0520	0.0789	0.1198	0.1819	0.1931	0.2933
1	2	3	0.0201	0.0611	0.0324	0.0985	0.0746	0.2270	0.1204	0.3660
1	2	4	0.0175	0.0637	0.0281	0.1027	0.0649	0.2367	0.1046	0.3818
1	2	5	0.0170	0.0641	0.0275	0.1034	0.0633	0.2383	0.1021	0.3843
1	2	6	0.0108	0.0703	0.0175	0.1134	0.0402	0.2614	0.0649	0.4215
1	2	7	0.0242	0.0569	0.0391	0.0918	0.0901	0.2115	0.1453	0.3411
1	2	8	0.0218	0.0593	0.0352	0.0957	0.0811	0.2205	0.1308	0.3556
1	2	9	0.0218	0.0593	0.0351	0.0957	0.0810	0.2206	0.1306	0.3558
1	2	10	0.0167	0.0644	0.0270	0.1038	0.0623	0.2394	0.1004	0.3860
1	2	11	0.0192	0.0620	0.0309	0.0999	0.0712	0.2304	0.1148	0.3716
1	2	12	0.0312	0.0499	0.0503	0.0805	0.1161	0.1856	0.1872	0.2992
1	2	13	0.0130	0.0681	0.0210	0.1098	0.0484	0.2532	0.0781	0.4083
1	2	14	0.0239	0.0573	0.0385	0.0924	0.0887	0.2129	0.1431	0.3434
1	2	15	0.0161	0.0651	0.0259	0.1049	0.0597	0.2419	0.0963	0.3901
1	2	16	0.0224	0.0587	0.0362	0.0947	0.0834	0.2183	0.1344	0.3520
1	2	17	0.0200	0.0611	0.0323	0.0985	0.0745	0.2271	0.1202	0.3662
1	2	18	0.0214	0.0597	0.0346	0.0963	0.0797	0.2219	0.1285	0.3579
1	2	19	0.0388	0.0423	0.0626	0.0682	0.1443	0.1573	0.2328	0.2537
1	2	20	0.0243	0.0568	0.0392	0.0916	0.0904	0.2112	0.1457	0.3407
1	3	1	0.0150	0.0460	0.0372	0.1137	0.0559	0.1711	0.1381	0.4229
1	3	2	0.0243	0.0368	0.0599	0.0910	0.0902	0.1369	0.2227	0.3382
1	3	3	0.0151	0.0460	0.0373	0.1136	0.0562	0.1709	0.1388	0.4222
1	3	4	0.0131	0.0479	0.0325	0.1184	0.0488	0.1782	0.1207	0.4403
1	3	5	0.0128	0.0483	0.0317	0.1192	0.0477	0.1794	0.1178	0.4432
1	3	6	0.0081	0.0529	0.0201	0.1308	0.0303	0.1968	0.0748	0.4861
1	3	7	0.0182	0.0428	0.0451	0.1058	0.0678	0.1592	0.1675	0.3934
1	3	8	0.0164	0.0447	0.0406	0.1103	0.0610	0.1660	0.1508	0.4102
1	3	9	0.0164	0.0447	0.0405	0.1104	0.0610	0.1661	0.1506	0.4103
1	3	10	0.0126	0.0485	0.0311	0.1198	0.0469	0.1802	0.1158	0.4452
1	3	11	0.0144	0.0467	0.0356	0.1153	0.0536	0.1734	0.1324	0.4285
1	3	12	0.0235	0.0376	0.0581	0.0928	0.0874	0.1397	0.2159	0.3451
1	3	13	0.0098	0.0513	0.0242	0.1267	0.0365	0.1906	0.0901	0.4709
1	3	14	0.0180	0.0431	0.0444	0.1065	0.0668	0.1603	0.1650	0.3960
1	3	15	0.0121	0.0490	0.0299	0.1210	0.0449	0.1821	0.1110	0.4500
1	3	16	0.0169	0.0442	0.0417	0.1092	0.0627	0.1643	0.1550	0.4059
1	3	17	0.0151	0.0460	0.0373	0.1136	0.0561	0.1710	0.1386	0.4224
1	3	18	0.0161	0.0449	0.0399	0.1110	0.0600	0.1671	0.1482	0.4128
1	3	19	0.0292	0.0318	0.0722	0.0787	0.1086	0.1184	0.2684	0.2925
1	3	20	0.0183	0.0428	0.0452	0.1057	0.0680	0.1590	0.1681	0.3929
1	4	1	0.0120	0.0366	0.0402	0.1232	0.0445	0.1362	0.1495	0.4578
1	4	2	0.0193	0.0293	0.0649	0.0985	0.0717	0.1089	0.2412	0.3662
1	4	3	0.0120	0.0366	0.0404	0.1230	0.0447	0.1360	0.1503	0.4571
1	4	4	0.0105	0.0381	0.0351	0.1282	0.0389	0.1418	0.1307	0.4767
1	4	5	0.0102	0.0384	0.0343	0.1291	0.0379	0.1427	0.1275	0.4799
1	4	6	0.0065	0.0421	0.0218	0.1416	0.0241	0.1566	0.0810	0.5263
1	4	7	0.0145	0.0341	0.0488	0.1146	0.0540	0.1267	0.1814	0.4260
1	4	8	0.0131	0.0355	0.0439	0.1195	0.0486	0.1321	0.1633	0.4441
1	4	9	0.0130	0.0355	0.0439	0.1195	0.0485	0.1321	0.1631	0.4443
1	4	10	0.0100	0.0386	0.0337	0.1297	0.0373	0.1434	0.1254	0.4820
1	4	11	0.0115	0.0371	0.0386	0.1248	0.0427	0.1380	0.1434	0.4640
1	4	12	0.0187	0.0299	0.0629	0.1005	0.0695	0.1111	0.2337	0.3737
1	4	13	0.0078	0.0408	0.0262	0.1371	0.0290	0.1516	0.0975	0.5099
1	4	14	0.0143	0.0343	0.0481	0.1153	0.0531	0.1275	0.1786	0.4287
1	4	15	0.0096	0.0390	0.0323	0.1310	0.0358	0.1449	0.1202	0.4872
1	4	16	0.0134	0.0352	0.0451	0.1182	0.0499	0.1307	0.1678	0.4395
1	4	17	0.0120	0.0366	0.0404	0.1230	0.0446	0.1360	0.1501	0.4573
1	4	18	0.0128	0.0358	0.0432	0.1202	0.0477	0.1329	0.1605	0.4469
1	4	19	0.0233	0.0253	0.0782	0.0852	0.0864	0.0942	0.2906	0.3167
1	4	20	0.0146	0.0340	0.0490	0.1144	0.0541	0.1265	0.1820	0.4254
1	5	1	0.0087	0.0265	0.0435	0.1333	0.0322	0.0985	0.1619	0.4955
1	5	2	0.0140	0.0212	0.0702	0.1066	0.0519	0.0788	0.2610	0.3964
1	5	3	0.0087	0.0264	0.0438	0.1331	0.0323	0.0983	0.1627	0.4947
1	5	4	0.0076	0.0276	0.0380	0.1388	0.0281	0.1025	0.1414	0.5160
1	5	5	0.0074	0.0278	0.0371	0.1397	0.0274	0.1032	0.1380	0.5194
1	5	6	0.0047	0.0304	0.0236	0.1532	0.0174	0.1132	0.0877	0.5697
1	5	7	0.0105	0.0246	0.0528	0.1240	0.0390	0.0916	0.1963	0.4611
1	5	8	0.0094	0.0257	0.0475	0.1293	0.0351	0.0955	0.1767	0.4807
1	5	9	0.0094	0.0257	0.0475	0.1294	0.0351	0.0955	0.1765	0.4809
1	5	10	0.0073	0.0279	0.0365	0.1403	0.0270	0.1037	0.1357	0.5217
1	5	11	0.0083	0.0268	0.0418	0.1351	0.0308	0.0998	0.1552	0.5022
1	5	12	0.0135	0.0216	0.0680	0.1088	0.0503	0.0804	0.2530	0.4044
1	5	13	0.0056	0.0295	0.0284	0.1484	0.0210	0.1096	0.1056	0.5519
1	5	14	0.0103	0.0248	0.0520	0.1248	0.0384	0.0922	0.1933	0.4641
1	5	15	0.0070	0.0282	0.0350	0.1418	0.0258	0.1048	0.1301	0.5273
1	5	16	0.0097	0.0254	0.0489	0.1280	0.0361	0.0945	0.1817	0.4757
1	5	17	0.0087	0.0265	0.0437	0.1331	0.0323	0.0983	0.1624	0.4950
1	5	18	0.0093	0.0259	0.0467	0.1301	0.0345	0.0961	0.1737	0.4837
1	5	19	0.0168	0.0183	0.0846	0.0922	0.0625	0.0681	0.3146	0.3428
1	5	20	0.0105	0.0246	0.0530	0.1239	0.0391	0.0915	0.1970	0.4604
1	6	1	0.0138	0.0422	0.0384	0.1176	0.0512	0.1567	0.1428	0.4373
1	6	2	0.0222	0.0337	0.0620	0.0941	0.0825	0.1254	0.2303	0.3498
1	6	3	0.0138	0.0421	0.0386	0.1174	0.0514	0.1565	0.1435	0.4366
1	6	4	0.0120	0.0439	0.0336	0.1225	0.0447	0.1632	0.1248	0.4553
1	6	5	0.0117	0.0442	0.0328	0.1233	0.0436	0.1643	0.1218	0.4583
1	6	6	0.0075	0.0485	0.0208	0.1352	0.0277	0.1802	0.0774	0.5027
1	6	7	0.0167	0.0392	0.0466	0.1094	0.0621	0.1458	0.1732	0.4069
1	6	8	0.0150	0.0409	0.0419	0.1141	0.0559	0.1520	0.1559	0.4242
1	6	9	0.0150	0.0409	0.0419	0.1141	0.0558	0.1521	0.1558	0.4244
1	6	10	0.0115	0.0444	0.0322	0.1238	0.0429	0.1650	0.1197	0.4604
1	6	11	0.0132	0.0427	0.0368	0.1192	0.0491	0.1588	0.1370	0.4432
1	6	12	0.0215	0.0344	0.0600	0.0960	0.0800	0.1279	0.2232	0.3569
1	6	13	0.0090	0.0469	0.0251	0.1310	0.0334	0.1745	0.0931	0.4870
1	6	14	0.0164	0.0395	0.0459	0.1102	0.0611	0.1468	0.1706	0.4095
1	6	15	0.0111	0.0449	0.0309	0.1252	0.0411	0.1668	0.1148	0.4653
1	6	16	0.0155	0.0405	0.0431	0.1129	0.0575	0.1505	0.1603	0.4198
1	6	17	0.0138	0.0421	0.0386	0.1175	0.0514	0.1565	0.1433	0.4368
1	6	18	0.0148	0.0411	0.0412	0.1148	0.0549	0.1530	0.1533	0.4268
1	6	19	0.0268	0.0292	0.0747	0.0814	0.0995	0.1084	0.2776	0.3025
1	6	20	0.0168	0.0392	0.0468	0.1093	0.0623	0.1456	0.1738	0.4063
1	7	1	0.0109	0.0335	0.0412	0.1263	0.0407	0.1245	0.1533	0.4695
1	7	2	0.0176	0.0268	0.0665	0.1010	0.0656	0.0996	0.2473	0.3755
1	7	3	0.0110	0.0334	0.0415	0.1261	0.0409	0.1243	0.1541	0.4687
1	7	4	0.0096	0.0349	0.0360	0.1315	0.0355	0.1297	0.1340	0.4888
1	7	5	0.0093	0.0351	0.0352	0.1324	0.0347	0.1305	0.1307	0.4921
1	7	6	0.0059	0.0385	0.0223	0.1452	0.0220	0.1432	0.0831	0.5397
1	7	7	0.0133	0.0312	0.0500	0.1175	0.0493	0.1159	0.1860	0.4368
1	7	8	0.0119	0.0325	0.0450	0.1225	0.0444	0.1208	0.1674	0.4554
1	7	9	0.0119	0.0325	0.0450	0.1225	0.0444	0.1209	0.1672	0.4556
1	7	10	0.0092	0.0353	0.0346	0.1329	0.0341	0.1311	0.1286	0.4942
1	7	11	0.0105	0.0340	0.0396	0.1280	0.0390	0.1262	0.1470	0.4758
1	7	12	0.0171	0.0273	0.0645	0.1031	0.0636	0.1016	0.2397	0.3831
1	7	13	0.0071	0.0373	0.0269	0.1406	0.0265	0.1387	0.1000	0.5228
1	7	14	0.0131	0.0314	0.0493	0.1183	0.0486	0.1166	0.1832	0.4396
1	7	15	0.0088	0.0356	0.0332	0.1344	0.0327	0.1325	0.1233	0.4995
1	7	16	0.0123	0.0322	0.0463	0.1212	0.0457	0.1196	0.1721	0.4507
1	7	17	0.0110	0.0335	0.0414	0.1261	0.0408	0.1244	0.1539	0.4689
1	7	18	0.0117	0.0327	0.0443	0.1233	0.0437	0.1216	0.1645	0.4582
1	7	19	0.0213	0.0232	0.0802	0.0874	0.0791	0.0862	0.2980	0.3248
1	7	20	0.0133	0.0311	0.0502	0.1173	0.0495	0.1157	0.1866	0.4362
1	8	1	0.0084	0.0256	0.0438	0.1342	0.0311	0.0952	0.1629	0.4988
1	8	2	0.0135	0.0205	0.0707	0.1073	0.0502	0.0762	0.2627	0.3990
1	8	3	0.0084	0.0256	0.0440	0.1340	0.0313	0.0951	0.1637	0.4980
1	8	4	0.0073	0.0267	0.0383	0.1397	0.0272	0.0991	0.1423	0.5194
1	8	5	0.0071	0.0268	0.0374	0.1406	0.0265	0.0998	0.1389	0.5228
1	8	6	0.0045	0.0294	0.0237	0.1543	0.0168	0.1095	0.0883	0.5734
1	8	7	0.0101	0.0238	0.0532	0.1248	0.0377	0.0886	0.1976	0.4641
1	8	8	0.0091	0.0248	0.0478	0.1301	0.0340	0.0924	0.1779	0.4838
1	8	9	0.0091	0.0249	0.0478	0.1302	0.0339	0.0924	0.1777	0.4840
1	8	10	0.0070	0.0270	0.0367	0.1413	0.0261	0.1002	0.1366	0.5251
1	8	11	0.0080	0.0260	0.0420	0.1360	0.0298	0.0965	0.1562	0.5055
1	8	12	0.0131	0.0209	0.0685	0.1095	0.0486	0.0777	0.2546	0.4071
1	8	13	0.0055	0.0285	0.0286	0.1494	0.0203	0.1060	0.1062	0.5555
1	8	14	0.0100	0.0240	0.0523	0.1256	0.0371	0.0892	0.1946	0.4671
1	8	15	0.0067	0.0273	0.0352	0.1428	0.0250	0.1013	0.1310	0.5308
1	8	16	0.0094	0.0246	0.0492	0.1288	0.0349	0.0914	0.1829	0.4789
1	8	17	0.0084	0.0256	0.0440	0.1340	0.0312	0.0951	0.1635	0.4982
1	8	18	0.0090	0.0250	0.0470	0.1310	0.0334	0.0929	0.1748	0.4869
1	8	19	0.0163	0.0177	0.0852	0.0928	0.0604	0.0659	0.3166	0.3451
1	8	20	0.0102	0.0238	0.0533	0.1247	0.0378	0.0885	0.1983	0.4635
1	9	1	0.0268	0.0820	0.0254	0.0778	0.0995	0.3047	0.0945	0.2893
1	9	2	0.0432	0.0656	0.0410	0.0622	0.1605	0.2437	0.1524	0.2314
1	9	3	0.0269	0.0818	0.0255	0.0777	0.1000	0.3042	0.0950	0.2888
1	9	4	0.0234	0.0853	0.0222	0.0810	0.0870	0.3173	0.0826	0.3012
1	9	5	0.0228	0.0859	0.0217	0.0816	0.0849	0.3194	0.0806	0.3032
1	9	6	0.0145	0.0942	0.0138	0.0895	0.0539	0.3503	0.0512	0.3326
1	9	7	0.0325	0.0763	0.0308	0.0724	0.1207	0.2835	0.1146	0.2692
1	9	8	0.0292	0.0795	0.0278	0.0755	0.1087	0.2956	0.1032	0.2806
1	9	9	0.0292	0.0795	0.0277	0.0755	0.1085	0.2957	0.1031	0.2807
1	9	10	0.0224	0.0863	0.0213	0.0819	0.0834	0.3208	0.0792	0.3046
1	9	11	0.0257	0.0831	0.0244	0.0789	0.0954	0.3088	0.0906	0.2932
1	9	12	0.0418	0.0669	0.0397	0.0635	0.1556	0.2487	0.1477	0.2361
1	9	13	0.0175	0.0913	0.0166	0.0867	0.0649	0.3393	0.0616	0.3222
1	9	14	0.0320	0.0768	0.0304	0.0729	0.1189	0.2854	0.1129	0.2709
1	9	15	0.0215	0.0872	0.0204	0.0828	0.0800	0.3242	0.0760	0.3078
1	9	16	0.0301	0.0787	0.0285	0.0747	0.1117	0.2925	0.1061	0.2777
1	9	17	0.0269	0.0819	0.0255	0.0777	0.0999	0.3044	0.0948	0.2890
1	9	18	0.0287	0.0800	0.0273	0.0760	0.1068	0.2974	0.1014	0.2824
1	9	19	0.0520	0.0567	0.0494	0.0538	0.1934	0.2108	0.1836	0.2001
1	9	20	0.0326	0.0762	0.0309	0.0723	0.1211	0.2831	0.1150	0.2688
1	10	1	0.0151	0.0463	0.0371	0.1135	0.0562	0.1720	0.1379	0.4220
1	10	2	0.0244	0.0370	0.0598	0.0908	0.0906	0.1375	0.2223	0.3376
1	10	3	0.0152	0.0462	0.0373	0.1133	0.0564	0.1717	0.1385	0.4214
1	10	4	0.0132	0.0482	0.0324	0.1182	0.0491	0.1790	0.1204	0.4395
1	10	5	0.0129	0.0485	0.0316	0.1190	0.0479	0.1802	0.1175	0.4424
1	10	6	0.0082	0.0532	0.0201	0.1305	0.0304	0.1977	0.0747	0.4852
1	10	7	0.0183	0.0430	0.0450	0.1056	0.0681	0.1600	0.1672	0.3927
1	10	8	0.0165	0.0449	0.0405	0.1101	0.0613	0.1668	0.1505	0.4094
1	10	9	0.0165	0.0449	0.0404	0.1102	0.0613	0.1669	0.1503	0.4096
1	10	10	0.0127	0.0487	0.0311	0.1195	0.0471	0.1810	0.1156	0.4443
1	10	11	0.0145	0.0469	0.0356	0.1151	0.0539	0.1743	0.1322	0.4277
1	10	12	0.0236	0.0377	0.0580	0.0927	0.0878	0.1403	0.2155	0.3445
1	10	13	0.0099	0.0515	0.0242	0.1264	0.0366	0.1915	0.0899	0.4700
1	10	14	0.0180	0.0433	0.0443	0.1063	0.0671	0.1610	0.1647	0.3952
1	10	15	0.0121	0.0492	0.0298	0.1208	0.0451	0.1830	0.1108	0.4491
1	10	16	0.0170	0.0444	0.0416	0.1090	0.0630	0.1651	0.1547	0.4052
1	10	17	0.0152	0.0462	0.0372	0.1134	0.0564	0.1718	0.1383	0.4216
1	10	18	0.0162	0.0451	0.0398	0.1108	0.0603	0.1678	0.1479	0.4120
1	10	19	0.0294	0.0320	0.0721	0.0785	0.1092	0.1190	0.2679	0.2920
1	10	20	0.0184	0.0430	0.0451	0.1055	0.0684	0.1598	0.1678	0.3921
1	11	1	0.0174	0.0532	0.0348	0.1066	0.0646	0.1977	0.1294	0.3963
1	11	2	0.0280	0.0425	0.0562	0.0853	0.1041	0.1582	0.2087	0.3170
1	11	3	0.0175	0.0531	0.0350	0.1064	0.0649	0.1974	0.1301	0.3956
1	11	4	0.0152	0.0554	0.0304	0.1110	0.0564	0.2059	0.1131	0.4126
1	11	5	0.0148	0.0557	0.0297	0.1117	0.0551	0.2072	0.1104	0.4154
1	11	6	0.0094	0.0611	0.0189	0.1226	0.0350	0.2273	0.0701	0.4556
1	11	7	0.0211	0.0495	0.0422	0.0992	0.0783	0.1840	0.1570	0.3687
1	11	8	0.0190	0.0516	0.0380	0.1034	0.0705	0.1918	0.1413	0.3844
1	11	9	0.0189	0.0516	0.0380	0.1034	0.0704	0.1919	0.1412	0.3846
1	11	10	0.0146	0.0560	0.0292	0.1122	0.0541	0.2082	0.1085	0.4172
1	11	11	0.0167	0.0539	0.0334	0.1080	0.0619	0.2004	0.1241	0.4016
1	11	12	0.0272	0.0434	0.0544	0.0870	0.1009	0.1614	0.2023	0.3234
1	11	13	0.0113	0.0592	0.0227	0.1187	0.0421	0.2202	0.0844	0.4413
1	11	14	0.0208	0.0498	0.0416	0.0998	0.0771	0.1852	0.1546	0.3711
1	11	15	0.0140	0.0566	0.0280	0.1134	0.0519	0.2104	0.1040	0.4217
1	11	16	0.0195	0.0511	0.0391	0.1023	0.0725	0.1898	0.1453	0.3804
1	11	17	0.0174	0.0531	0.0349	0.1065	0.0648	0.1975	0.1299	0.3958
1	11	18	0.0186	0.0519	0.0374	0.1041	0.0693	0.1930	0.1389	0.3868
1	11	19	0.0338	0.0368	0.0677	0.0737	0.1255	0.1368	0.2516	0.2742
1	11	20	0.0211	0.0494	0.0424	0.0990	0.0786	0.1837	0.1575	0.3682
1	12	1	0.0115	0.0353	0.0407	0.1245	0.0429	0.1313	0.1511	0.4627
1	12	2	0.0186	0.0282	0.0656	0.0996	0.0692	0.1050	0.2437	0.3701
1	12	3	0.0116	0.0353	0.0409	0.1243	0.0431	0.1311	0.1519	0.4620
1	12	4	0.0101	0.0368	0.0355	0.1296	0.0375	0.1367	0.1320	0.4818
1	12	5	0.0098	0.0370	0.0347	0.1305	0.0366	0.1376	0.1289	0.4850
1	12	6	0.0062	0.0406	0.0220	0.1431	0.0232	0.1509	0.0819	0.5320
1	12	7	0.0140	0.0329	0.0493	0.1158	0.0520	0.1222	0.1833	0.4305
1	12	8	0.0126	0.0343	0.0444	0.1207	0.0468	0.1273	0.1650	0.4488
1	12	9	0.0126	0.0343	0.0443	0.1208	0.0468	0.1274	0.1648	0.4490
1	12	10	0.0097	0.0372	0.0341	0.1310	0.0359	0.1382	0.1267	0.4872
1	12	11	0.0111	0.0358	0.0390	0.1261	0.0411	0.1330	0.1449	0.4689
1	12	12	0.0180	0.0288	0.0635	0.1016	0.0670	0.1071	0.2362	0.3776
1	12	13	0.0075	0.0393	0.0265	0.1386	0.0280	0.1462	0.0986	0.5153
1	12	14	0.0138	0.0331	0.0486	0.1166	0.0512	0.1229	0.1805	0.4333
1	12	15	0.0093	0.0376	0.0327	0.1324	0.0345	0.1397	0.1215	0.4924
1	12	16	0.0129	0.0339	0.0456	0.1195	0.0481	0.1260	0.1696	0.4442
1	12	17	0.0116	0.0353	0.0408	0.1243	0.0430	0.1311	0.1517	0.4622
1	12	18	0.0124	0.0345	0.0436	0.1215	0.0460	0.1281	0.1622	0.4517
1	12	19	0.0224	0.0244	0.0790	0.0861	0.0833	0.0908	0.2937	0.3201
1	12	20	0.0140	0.0328	0.0495	0.1156	0.0522	0.1220	0.1839	0.4299
1	13	1	0.0132	0.0403	0.0390	0.1194	0.0490	0.1500	0.1450	0.4440
1	13	2	0.0213	0.0323	0.0629	0.0955	0.0790	0.1200	0.2339	0.3552
1	13	3	0.0132	0.0403	0.0392	0.1192	0.0492	0.1498	0.1457	0.4433
1	13	4	0.0115	0.0420	0.0341	0.1244	0.0428	0.1562	0.1267	0.4623
1	13	5	0.0112	0.0423	0.0333	0.1252	0.0418	0.1572	0.1236	0.4654
1	13	6	0.0071	0.0464	0.0211	0.1373	0.0265	0.1725	0.0786	0.5104
1	13	7	0.0160	0.0375	0.0473	0.1111	0.0594	0.1396	0.1759	0.4131
1	13	8	0.0144	0.0391	0.0426	0.1159	0.0535	0.1455	0.1583	0.4307
1	13	9	0.0144	0.0392	0.0425	0.1159	0.0534	0.1456	0.1582	0.4309
1	13	10	0.0110	0.0425	0.0327	0.1257	0.0411	0.1579	0.1216	0.4674
1	13	11	0.0126	0.0409	0.0374	0.1210	0.0470	0.1520	0.1391	0.4500
1	13	12	0.0206	0.0329	0.0610	0.0975	0.0766	0.1224	0.2267	0.3624
1	13	13	0.0086	0.0449	0.0254	0.1330	0.0320	0.1670	0.0946	0.4945
1	13	14	0.0157	0.0378	0.0466	0.1118	0.0585	0.1405	0.1732	0.4158
1	13	15	0.0106	0.0429	0.0314	0.1271	0.0394	0.1596	0.1166	0.4725
1	13	16	0.0148	0.0387	0.0438	0.1147	0.0550	0.1440	0.1628	0.4262
1	13	17	0.0132	0.0403	0.0391	0.1193	0.0492	0.1498	0.1455	0.4435
1	13	18	0.0141	0.0394	0.0419	0.1166	0.0526	0.1464	0.1556	0.4334
1	13	19	0.0256	0.0279	0.0758	0.0826	0.0952	0.1038	0.2819	0.3072
1	13	20	0.0160	0.0375	0.0475	0.1110	0.0596	0.1394	0.1765	0.4125
1	14	1	0.0121	0.0371	0.0401	0.1227	0.0451	0.1379	0.1490	0.4561
1	14	2	0.0195	0.0297	0.0646	0.0981	0.0727	0.1103	0.2402	0.3648
1	14	3	0.0122	0.0370	0.0403	0.1225	0.0453	0.1377	0.1497	0.4553
1	14	4	0.0106	0.0386	0.0350	0.1277	0.0394	0.1436	0.1301	0.4749
1	14	5	0.0103	0.0389	0.0342	0.1286	0.0384	0.1446	0.1270	0.4780
1	14	6	0.0066	0.0427	0.0217	0.1410	0.0244	0.1586	0.0807	0.5243
1	14	7	0.0147	0.0345	0.0486	0.1141	0.0546	0.1283	0.1807	0.4244
1	14	8	0.0132	0.0360	0.0438	0.1190	0.0492	0.1338	0.1626	0.4424
1	14	9	0.0132	0.0360	0.0437	0.1191	0.0491	0.1339	0.1625	0.4426
1	14	10	0.0102	0.0391	0.0336	0.1292	0.0378	0.1452	0.1249	0.4802
1	14	11	0.0116	0.0376	0.0384	0.1243	0.0432	0.1398	0.1428	0.4622
1	14	12	0.0189	0.0303	0.0626	0.1001	0.0704	0.1126	0.2328	0.3722
1	14	13	0.0079	0.0413	0.0261	0.1366	0.0294	0.1536	0.0971	0.5079
1	14	14	0.0145	0.0347	0.0479	0.1149	0.0538	0.1292	0.1779	0.4271
1	14	15	0.0097	0.0395	0.0322	0.1305	0.0362	0.1468	0.1197	0.4853
1	14	16	0.0136	0.0356	0.0450	0.1178	0.0506	0.1324	0.1672	0.4378
1	14	17	0.0122	0.0371	0.0402	0.1225	0.0452	0.1378	0.1495	0.4556
1	14	18	0.0130	0.0362	0.0430	0.1198	0.0483	0.1346	0.1599	0.4452
1	14	19	0.0236	0.0257	0.0779	0.0849	0.0876	0.0954	0.2895	0.3155
1	14	20	0.0147	0.0345	0.0488	0.1140	0.0548	0.1282	0.1813	0.4238
1	15	1	0.0127	0.0389	0.0395	0.1209	0.0472	0.1445	0.1468	0.4495
1	15	2	0.0205	0.0311	0.0637	0.0967	0.0761	0.1156	0.2368	0.3595
1	15	3	0.0128	0.0388	0.0397	0.1207	0.0474	0.1443	0.1475	0.4487
1	15	4	0.0111	0.0405	0.0345	0.1259	0.0412	0.1505	0.1283	0.4680
1	15	5	0.0108	0.0407	0.0337	0.1267	0.0402	0.1515	0.1252	0.4711
1	15	6	0.0069	0.0447	0.0214	0.1390	0.0256	0.1662	0.0795	0.5167
1	15	7	0.0154	0.0362	0.0479	0.1125	0.0573	0.1345	0.1781	0.4182
1	15	8	0.0139	0.0377	0.0431	0.1173	0.0515	0.1402	0.1603	0.4360
1	15	9	0.0138	0.0377	0.0431	0.1173	0.0515	0.1403	0.1601	0.4362
1	15	10	0.0106	0.0409	0.0331	0.1273	0.0396	0.1522	0.1231	0.4732
1	15	11	0.0122	0.0394	0.0379	0.1225	0.0453	0.1465	0.1408	0.4555
1	15	12	0.0198	0.0317	0.0617	0.0987	0.0738	0.1180	0.2295	0.3668
1	15	13	0.0083	0.0433	0.0258	0.1346	0.0308	0.1610	0.0957	0.5005
1	15	14	0.0152	0.0364	0.0472	0.1132	0.0564	0.1353	0.1754	0.4209
1	15	15	0.0102	0.0414	0.0317	0.1287	0.0379	0.1538	0.1180	0.4783
1	15	16	0.0143	0.0373	0.0443	0.1161	0.0530	0.1388	0.1648	0.4315
1	15	17	0.0127	0.0388	0.0396	0.1208	0.0474	0.1444	0.1473	0.4490
1	15	18	0.0136	0.0379	0.0424	0.1180	0.0507	0.1411	0.1575	0.4387
1	15	19	0.0247	0.0269	0.0768	0.0836	0.0917	0.1000	0.2853	0.3110
1	15	20	0.0155	0.0361	0.0481	0.1123	0.0574	0.1343	0.1787	0.4176
1	16	1	0.0091	0.0279	0.0431	0.1319	0.0339	0.1038	0.1601	0.4902
1	16	2	0.0147	0.0223	0.0695	0.1055	0.0547	0.0830	0.2582	0.3921
